recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE
215,NGC7424,,10.9,1.1,5.18,0.43,5.18,1.34,0.05,9.82,0.11,0.45,0.08,0.05,3.0,0.3,,,star,61,NGC7424,NED,344.32654,-41.07057
216,NGC7457,,12.5,1.2,6.95,0.30,0.30,1.87,0.02,10.25,0.08,0.35,0.04,0.04,3.9,0.1,,,star,78,NGC7457,NED,345.24972,30.14489
217,NGC7582,,22.3,9.8,7.74,0.20,0.20,2.19,0.05,11.21,0.32,0.89,0.19,0.16,6.6,0.4,,,gas,94,NGC7582,NED,349.59842,-42.37057
218,NGC7619,,51.5,7.4,9.40,0.11,0.11,2.51,0.02,11.66,0.12,0.87,0.09,0.07,5.8,0.4,,,star,74,NGC7619,NED,350.06052,8.20629
219,NGC7626,,38.1,3.8,8.58,0.33,0.33,2.37,0.02,11.44,0.09,0.87,0.08,0.05,5.4,0.3,,,gas,7,NGC7626,NED,350.17718,8.21706
220,NGC7682,,59.3,5.9,7.56,0.33,0.33,2.05,0.06,10.96,0.10,0.80,0.10,0.06,5.1,0.4,,,gas,7,NGC7682,NED,352.26623,3.53333
221,NGC7768,,116.0,27.5,9.13,0.18,0.18,2.42,0.02,11.91,0.19,1.15,0.12,0.10,5.7,0.4,,,star,58,NGC7768,NED,357.74414,27.14743
222,SBS1116+583A,,119.4,11.9,6.54,0.20,0.20,1.96,0.02,10.50,0.08,0.44,0.09,0.08,3.9,1.9,9.97,0.08,reverb,8,SBSG 1116+583A,NED,169.74049,58.05656
223,UGC12064,,34.7,6.7,8.84,0.52,0.52,2.41,0.03,10.61,0.17,0.38,0.13,0.12,5.9,0.6,,,gas,7,UGC12064,NED,337.83594,39.35828
224,UGC1214,,59.9,6.0,7.74,0.18,7.74,2.02,0.06,10.74,0.09,0.38,0.06,0.04,4.7,0.6,10.05,0.03,gas,7,UGC1214,NED,25.99069,2.34991
225,UGC1395,,60.8,6.1,6.83,0.28,6.83,1.81,0.04,10.86,0.11,0.85,0.10,0.06,4.7,0.4,,,gas,7,UGC1395,NED,28.84174,6.61170
226,UGC1841,,74.9,7.5,8.47,0.19,0.19,2.47,0.04,11.98,0.09,1.49,0.06,0.06,4.7,0.6,,,gas,7,UGC1841,NED,35.79755,42.99205
