recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE
73,NGC2778,,23.4,2.3,7.16,0.30,7.16,2.12,0.02,10.27,0.08,0.08,0.06,0.05,5.1,0.4,,,star,78,NGC2778,NED,138.10164,35.02742
74,NGC2787,,7.4,1.2,7.61,0.09,0.09,2.28,0.02,10.21,0.13,-0.02,0.07,0.06,4.9,0.3,,,gas,76,NGC2787,NED,139.82724,69.20340
75,NGC2892,,86.2,8.6,8.43,0.11,0.11,2.47,0.03,11.54,0.08,0.83,0.07,0.05,5.2,0.4,,,gas,7,NGC2892,NED,143.22041,67.61740
76,NGC2903,,10.4,1.0,7.06,0.28,7.06,1.97,0.06,11.06,0.12,0.73,0.11,0.04,3.3,0.3,,,gas,7,NGC2903,NED,143.04213,21.50083
77,NGC2960,,67.1,7.1,7.03,0.05,0.05,2.18,0.02,11.14,0.09,0.73,0.08,0.08,5.7,0.3,10.02,0.11,maser,"52,88",NGC2960,NED,145.15157,3.57693
78,NGC2964,,19.7,2.0,6.73,0.61,6.73,1.97,0.09,10.63,0.08,0.41,0.05,0.05,4.0,0.4,,,gas,7,NGC2964,NED,145.72605,31.84721
79,NGC2974,,21.5,2.4,8.23,0.09,0.09,2.36,0.02,11.04,0.09,0.55,0.07,0.06,5.8,0.4,,,stars,15,NGC2974,NED,145.63861,-3.69912
80,NGC3021,,22.4,2.2,7.26,0.30,7.26,1.70,0.20,10.40,0.09,0.31,0.06,0.04,3.6,0.3,,,gas,7,NGC3021,NED,147.73797,33.55347
81,NGC3031,,3.6,0.1,7.81,0.13,0.13,2.15,0.02,10.93,0.08,0.44,0.11,0.04,5.0,0.3,,,gas,25,NGC3031,NED,148.88822,69.06529
82,NGC3078,,32.8,3.3,7.91,0.42,0.42,2.32,0.03,11.27,0.09,0.55,0.07,0.05,5.6,0.4,9.57,0.04,gas,7,NGC3078,NED,149.60257,-26.92687
83,NGC3079,,15.9,1.2,6.40,0.05,0.05,2.16,0.02,10.86,0.07,0.63,0.05,0.03,5.4,0.4,,,maser,"84,95;46",NGC3079,NED,150.49085,55.67979
84,NGC3081,,33.5,3.4,7.20,0.30,0.30,2.09,0.03,10.96,0.11,0.66,0.13,0.06,5.4,0.6,,,gas,7,NGC3081,NED,149.87305,-22.82620
85,NGC3091,,51.2,8.3,9.56,0.07,0.07,2.49,0.02,11.62,0.12,0.89,0.09,0.07,5.7,0.4,,,star,74,NGC3091,NED,150.05885,-19.63648
86,NGC3115,,9.5,0.4,8.95,0.09,0.09,2.36,0.02,10.98,0.04,0.42,0.06,0.03,5.4,0.3,,,star,28,NGC3115,NED,151.30824,-7.71858
87,NGC3227,,23.8,2.6,7.32,0.23,0.23,2.12,0.04,11.21,0.13,1.03,0.14,0.06,4.9,0.4,9.51,0.12,star,20,NGC3227,NED,155.87737,19.86508
88,NGC3245,,21.4,2.0,8.38,0.11,0.11,2.25,0.02,10.86,0.09,0.39,0.05,0.05,5.5,0.3,9.26,0.15,gas,2,NGC3245,NED,156.82652,28.50744
89,NGC3310,,17.4,1.7,6.70,0.92,6.70,1.92,0.02,10.42,0.09,0.07,0.08,0.05,4.7,0.8,,,gas,70,NGC3310,NED,159.69107,53.50330
90,NGC3351,,9.3,0.9,6.52,0.26,6.52,1.97,0.07,10.76,0.10,0.59,0.11,0.06,4.9,0.4,,,gas,7,NGC3351,NED,160.99055,11.70361
91,NGC3368,,10.4,1.0,6.88,0.08,0.08,2.08,0.09,10.95,0.07,0.49,0.06,0.05,5.7,0.4,,,star,65,NGC3368,NED,161.69060,11.81994
92,NGC3377,,11.0,0.5,8.25,0.25,0.25,2.11,0.02,10.52,0.06,0.36,0.11,0.06,5.9,0.4,,,star,78,NGC3377,NED,161.92667,13.98564
93,NGC3379,,10.7,0.5,8.62,0.11,0.11,2.27,0.02,11.01,0.06,0.48,0.09,0.05,6.3,0.5,,,star,87,NGC3379,NED,161.95667,12.58163
94,NGC3384,,11.5,0.7,7.03,0.21,0.21,2.14,0.02,10.85,0.09,0.49,0.21,0.14,7.1,0.7,,,star,78,NGC3384,NED,162.07040,12.62930
95,NGC3393,,49.2,8.2,7.20,0.33,0.33,2.17,0.03,11.15,0.15,0.78,0.11,0.09,5.8,0.4,9.52,0.14,maser,47,NGC3393,NED,162.09778,-25.16203
96,NGC3414,,25.2,2.7,8.40,0.07,0.07,2.28,0.02,10.99,0.11,0.46,0.08,0.05,5.5,0.3,,,stars,15,NGC3414,NED,162.81767,27.97497
97,NGC3423,,14.6,1.5,5.18,0.67,5.18,1.62,0.07,10.35,0.09,0.71,0.07,0.04,3.6,0.2,,,star,61,NGC3423,NED,162.80975,5.84010
98,NGC3489,,12.1,0.8,6.78,0.05,0.05,2.01,0.02,10.60,0.07,0.18,0.08,0.06,5.9,0.5,9.15,0.05,star,65,NGC3489,NED,165.07745,13.90126
99,NGC3585,,20.5,1.7,8.52,0.13,0.13,2.33,0.02,11.42,0.07,0.80,0.07,0.04,5.7,0.3,,,star,37,NGC3585,NED,168.32129,-26.75499
100,NGC3607,,22.6,1.8,8.14,0.16,0.16,2.32,0.02,11.35,0.07,0.60,0.09,0.05,5.8,0.5,,,star,37,NGC3607,NED,169.22774,18.05181
101,NGC3608,,22.8,1.5,8.67,0.10,0.10,2.23,0.02,10.92,0.07,0.47,0.06,0.04,5.5,0.3,,,star,78,NGC3608,NED,169.24570,18.14853
102,NGC3621,,6.6,0.7,6.00,0.48,6.00,1.79,0.03,10.46,0.10,0.63,0.11,0.06,4.9,0.6,,,star,3,NGC3621,NED,169.56792,-32.81260
103,NGC3627,,10.1,1.1,6.93,0.05,0.05,2.09,0.01,11.02,0.09,0.63,0.07,0.05,4.0,0.4,,,stars,75,NGC3627,NED,170.06261,12.99129
104,NGC3642,,21.6,2.2,7.42,0.04,7.42,1.97,0.11,10.35,0.10,0.27,0.06,0.05,4.5,0.3,,,gas,7,NGC3642,NED,170.57506,59.07424
105,NGC3665,,34.7,6.7,8.76,0.09,0.09,2.34,0.02,11.50,0.15,0.80,0.09,0.08,5.4,0.3,,,CO,67,NGC3665,NED,171.18179,38.76279
106,NGC3675,,12.4,1.2,7.26,0.29,7.26,2.02,0.02,10.83,0.09,0.55,0.06,0.05,4.0,0.2,,,gas,7,NGC3675,NED,171.53577,43.58592
107,NGC3706,,46.0,4.6,9.77,0.06,0.06,2.51,0.01,11.58,0.08,0.80,0.05,0.04,5.8,0.4,,,star,39,NGC3706,NED,172.43510,-36.39126
108,NGC3783,,41.7,4.2,7.36,0.19,0.19,1.98,0.05,11.06,0.10,0.69,0.06,0.05,3.6,0.4,10.58,0.01,reverb,68,NGC3783,NED,174.75717,-37.73850
109,NGC3801,,46.3,4.6,8.28,0.31,0.31,2.32,0.04,11.22,0.09,0.78,0.09,0.06,5.5,0.4,,,gas,7,NGC3801,NED,175.07040,17.72791
110,NGC3842,,92.2,10.6,9.96,0.14,0.14,2.44,0.02,11.81,0.11,1.11,0.07,0.06,5.4,0.2,,,star,56a,NGC3842,NED,176.00905,19.94982
111,NGC3862,,84.6,8.5,8.41,0.37,0.37,2.32,0.03,11.59,0.09,1.08,0.10,0.07,6.5,0.3,,,gas,7,NGC3862,NED,176.27087,19.60632
112,NGC3923,,20.9,2.7,9.45,0.12,0.12,2.35,0.02,11.50,0.11,0.89,0.10,0.06,5.1,0.4,,,stars,75,NGC3923,NED,177.75743,-28.80621
113,NGC3945,,19.5,2.0,6.94,0.46,6.94,2.25,0.02,10.89,0.09,0.29,0.07,0.05,4.8,0.4,,,star,37,NGC3945,NED,178.30719,60.67556
114,NGC3953,,15.4,1.5,7.33,0.29,0.29,2.11,0.01,11.05,0.10,0.87,0.09,0.05,4.7,0.4,,,gas,7,NGC3953,NED,178.45428,52.32654
115,NGC3982,,15.9,1.6,6.95,0.26,6.95,1.89,0.01,10.23,0.09,0.16,0.06,0.05,3.2,0.4,,,gas,7,NGC3982,NED,179.11737,55.12536
116,NGC3992,,15.3,1.5,7.51,0.28,0.28,2.09,0.06,11.15,0.12,1.07,0.13,0.06,4.3,0.5,,,gas,7,NGC3992,NED,179.39993,53.37452
117,NGC3998,,14.3,1.3,8.93,0.05,0.05,2.35,0.02,10.71,0.07,0.11,0.06,0.05,5.6,0.3,9.15,0.27,star,90,NGC3998,NED,179.48389,55.45359
118,NGC4026,,13.4,1.7,8.26,0.12,0.12,2.19,0.02,10.55,0.11,0.22,0.07,0.07,6.0,0.3,,,star,37,NGC4026,NED,179.85495,50.96169
119,NGC4036,,19.0,1.9,7.89,0.36,0.36,2.26,0.02,10.90,0.09,0.43,0.06,0.04,5.0,0.3,,,gas,7,NGC4036,NED,180.36205,61.89570
120,NGC4051,,10.0,1.0,6.10,0.25,0.25,1.95,0.01,10.28,0.08,0.60,0.04,0.04,3.5,0.2,9.28,0.01,reverb,23,NGC4051,NED,180.79036,44.53126
121,NGC4088,,11.9,1.2,6.79,0.29,6.79,1.93,0.02,10.50,0.08,0.55,0.04,0.04,3.2,0.1,,,gas,7,NGC4088,NED,181.39245,50.53903
122,NGC4143,,14.8,1.5,7.92,0.36,0.36,2.25,0.02,10.55,0.08,0.04,0.05,0.05,5.3,0.4,,,gas,7,NGC4143,NED,182.40036,42.53422
123,NGC4150,,12.8,1.3,5.94,0.44,5.94,1.91,0.02,10.08,0.10,0.00,0.06,0.05,5.7,0.4,,,gas,7,NGC4150,NED,182.64023,30.40149
124,NGC4151,,20.0,2.8,7.81,0.08,0.08,1.98,0.01,10.96,0.13,0.60,0.12,0.08,7.1,0.3,10.23,0.03,star,69,NGC4151,NED,182.63572,39.40580
125,NGC4203,,14.1,1.4,7.82,0.26,0.26,2.11,0.02,10.76,0.11,0.42,0.13,0.07,5.8,0.4,,,gas,7,NGC4203,NED,183.77100,33.19730
126,NGC4212,,3.2,0.3,5.99,0.42,5.99,1.83,0.02,9.10,0.09,-0.19,0.05,0.04,3.1,0.4,,,gas,7,NGC4212,NED,183.91406,13.90147
127,NGC4245,,14.6,1.5,7.19,0.48,7.19,1.92,0.02,10.42,0.10,0.41,0.09,0.06,5.1,0.3,,,gas,7,NGC4245,NED,184.40326,29.60800
128,NGC4253,,55.4,5.5,6.80,0.17,0.17,1.94,0.16,10.69,0.10,0.61,0.06,0.05,2.9,0.5,10.53,0.00,reverb,8,NGC4253,NED,184.61035,29.81282
129,NGC4258,,7.3,0.5,7.58,0.03,0.03,2.06,0.04,10.90,0.08,0.64,0.08,0.03,4.1,0.3,8.53,0.07,maser,41,NGC4258,NED,184.74008,47.30372
130,NGC4261,,32.4,2.8,8.72,0.10,0.10,2.42,0.02,11.60,0.09,0.86,0.12,0.06,5.5,0.5,,,gas,29,NGC4261,NED,184.84673,5.82492
131,NGC4278,,15.0,1.5,7.96,0.27,0.27,2.33,0.02,10.87,0.09,0.24,0.09,0.07,5.4,0.6,,,gas,7,NGC4278,NED,185.02844,29.28075
132,NGC4291,,26.6,3.9,8.99,0.16,0.16,2.38,0.02,10.95,0.13,0.44,0.11,0.08,6.8,0.5,,,star,78,NGC4291,NED,185.07375,75.37096
133,NGC4303,,17.9,1.8,6.51,0.74,0.74,1.92,0.02,11.17,0.12,0.81,0.11,0.05,3.9,0.7,,,gas,70,NGC4303,NED,185.47896,4.47359
134,NGC4314,,15.5,1.5,6.91,0.30,6.91,2.03,0.01,10.90,0.11,0.81,0.12,0.06,5.2,0.4,,,gas,7,NGC4314,NED,185.63324,29.89530
135,NGC4321,,14.2,1.4,6.67,0.17,6.67,1.92,0.02,11.14,0.11,0.98,0.13,0.08,4.2,0.7,,,gas,7,NGC4321,NED,185.72875,15.82238
136,NGC4335,,59.1,5.9,8.39,0.31,0.31,2.41,0.01,11.30,0.09,0.60,0.07,0.05,5.8,0.5,,,gas,7,NGC4335,NED,185.75795,58.44471
137,NGC4342,,22.9,1.4,8.66,0.19,0.19,2.38,0.02,10.44,0.05,-0.24,0.06,0.04,8.6,3.6,,,star,18,NGC4342,NED,185.91260,7.05394
138,NGC4350,,17.0,1.7,8.58,0.41,0.41,2.24,0.02,10.69,0.09,0.23,0.07,0.05,6.0,0.4,,,star,73,NGC4350,NED,185.99089,16.69336
139,NGC4371,,16.9,1.5,6.84,0.07,0.07,2.16,0.02,10.78,0.08,0.40,0.05,0.04,4.7,0.3,,,stars,75,NGC4371,NED,186.23096,11.70429
140,NGC4374,,18.5,0.6,8.97,0.05,0.05,2.41,0.02,11.40,0.03,0.57,0.03,0.02,5.0,0.2,,,gas,89,NGC4374,NED,186.26560,12.88698
141,NGC4382,,17.9,1.8,7.11,1.24,7.11,2.25,0.02,11.50,0.09,0.86,0.08,0.05,4.8,0.5,,,star,38,NGC4382,NED,186.35022,18.19108
142,NGC4388,,16.5,1.6,6.86,0.04,0.04,2.03,0.03,10.72,0.08,0.75,0.08,0.05,5.2,0.5,8.71,0.05,maser,52,NGC4388,NED,186.44508,12.66207
143,NGC4429,,18.2,1.8,7.85,0.35,0.35,2.25,0.02,11.42,0.15,1.04,0.18,0.06,5.2,0.4,,,gas,7,NGC4429,NED,186.86066,11.10754
144,NGC4435,,17.0,1.7,0.00,6.30,0.00,2.18,0.02,10.70,0.09,0.14,0.05,0.05,5.2,0.3,,,star,17,NGC4435,NED,186.91876,13.07902
145,NGC4450,,28.3,2.8,8.06,0.28,8.06,2.03,0.06,11.60,0.11,1.11,0.11,0.06,4.7,0.5,,,gas,7,NGC4450,NED,187.12347,17.08495
146,NGC4459,,16.0,0.5,7.84,0.09,0.09,2.20,0.02,10.94,0.04,0.42,0.06,0.03,5.8,0.3,,,gas,76,NGC4459,NED,187.25011,13.97858
147,NGC4472,,17.1,0.6,9.40,0.04,0.04,2.40,0.02,11.75,0.07,0.89,0.11,0.04,5.2,0.6,,,star,74,NGC4472,NED,187.44499,8.00041
148,NGC4473,,15.2,0.5,7.95,0.24,0.24,2.27,0.02,10.89,0.03,0.38,0.05,0.03,5.8,0.3,,,star,78,NGC4473,NED,187.45366,13.42932
149,NGC4477,,20.8,2.1,7.55,0.30,0.30,2.17,0.02,11.17,0.11,0.69,0.10,0.06,5.1,0.4,,,gas,7,NGC4477,NED,187.50905,13.63644
150,NGC4486,,16.7,0.6,9.58,0.10,0.10,2.42,0.02,11.61,0.05,0.82,0.07,0.03,5.7,0.6,7.57,4.13,gas,91,NGC4486,NED,187.70593,12.39112
151,NGC4486A,,16.0,0.5,7.10,0.15,0.15,2.09,0.02,10.08,0.05,-0.19,0.06,0.03,4.9,0.7,,,star,63,NGC4486A,NED,187.74054,12.27036
152,NGC4486B,,16.5,0.6,8.60,0.02,0.02,2.23,0.02,9.75,0.05,-0.70,0.12,0.10,4.8,2.7,,,star,75,NGC4486B,NED,187.63327,12.49024
153,NGC4501,,16.5,1.1,7.30,0.08,0.08,2.20,0.01,11.27,0.07,0.72,0.04,0.03,3.5,0.2,9.23,0.07,stars,75,NGC4501,NED,187.99673,14.42041
154,NGC4507,,47.0,4.7,7.18,0.35,0.35,2.16,0.02,11.08,0.09,0.62,0.06,0.04,4.1,0.3,10.38,0.02,gas,7,NGC4507,NED,188.90257,-39.90921
155,NGC4526,,16.4,1.8,8.65,0.12,0.12,2.32,0.02,11.22,0.09,0.54,0.10,0.07,5.6,0.6,,,gas,21,NGC4526,NED,188.51262,7.69914
156,NGC4548,,17.9,1.8,7.25,0.29,0.29,2.16,0.04,11.27,0.16,1.08,0.17,0.07,4.2,0.5,,,gas,7,NGC4548,NED,188.86012,14.49632
157,NGC4552,,15.3,1.0,8.70,0.05,0.05,2.35,0.02,11.11,0.06,0.45,0.07,0.05,6.3,0.4,,,stars,15,NGC4552,NED,188.91590,12.55630
158,NGC4564,,15.9,0.5,7.95,0.12,0.12,2.19,0.02,10.67,0.04,0.42,0.06,0.03,6.5,0.3,,,star,78,NGC4564,NED,189.11247,11.43932
159,NGC4579,,23.0,2.3,7.96,0.36,7.96,2.04,0.06,11.61,0.12,1.03,0.13,0.07,4.9,0.6,,,gas,7,NGC4579,NED,189.43165,11.81809
160,NGC4593,,38.5,3.9,6.86,0.21,0.21,2.13,0.02,11.35,0.09,0.98,0.09,0.06,5.6,0.3,10.28,0.04,reverb,5,NGC4593,NED,189.91455,-5.34421
161,NGC4594,,9.9,0.8,8.82,0.05,0.05,2.38,0.02,11.39,0.08,0.74,0.08,0.04,4.2,0.2,,,star,44,NGC4594,NED,189.99763,-11.62305
162,NGC4596,,16.5,6.2,7.89,0.26,0.26,2.10,0.02,10.97,0.26,0.70,0.16,0.14,5.3,0.3,,,gas,76,NGC4596,NED,189.98306,10.17603
163,NGC4621,,18.3,3.0,8.60,0.09,0.09,2.30,0.02,11.19,0.12,0.53,0.06,0.06,5.2,0.2,,,stars,15,NGC4621,NED,190.50967,11.64693
164,NGC4649,,16.5,0.6,9.67,0.10,0.10,2.43,0.02,11.66,0.06,0.90,0.10,0.05,5.8,0.5,,,star,80,NGC4649,NED,190.91670,11.55261
165,NGC4697,,12.5,0.4,8.31,0.11,0.11,2.23,0.02,11.08,0.05,0.64,0.07,0.03,4.9,0.3,,,star,78,NGC4697,NED,192.14961,-5.80085
166,NGC4698,,16.4,1.6,7.76,0.16,0.16,2.09,0.03,10.82,0.10,0.56,0.08,0.05,5.0,0.2,,,gas,7,NGC4698,NED,192.09557,8.48724
167,NGC4742,,15.7,1.6,7.10,0.15,0.15,1.95,0.02,10.46,0.09,0.06,0.11,0.08,7.8,1.0,,,star,83,NGC4742,NED,192.95017,-10.45479
168,NGC4748,,62.7,6.3,6.36,0.26,0.26,2.02,0.05,10.82,0.09,0.62,0.06,0.04,3.4,0.3,10.30,0.01,reverb,8,NGC4748,NED,193.05188,-13.41467
169,NGC4751,,26.9,2.9,9.15,0.06,0.06,2.55,0.02,10.95,0.09,0.52,0.07,0.05,6.4,0.4,,,star,74,NGC4751,NED,193.21167,-42.65996
170,NGC4800,,12.5,1.3,7.02,0.53,7.02,2.01,0.01,10.23,0.08,0.01,0.05,0.04,4.2,0.2,,,gas,7,NGC4800,NED,193.65740,46.53114
171,NGC4889,,102.0,5.2,10.32,0.44,0.44,2.56,0.02,12.13,0.05,1.34,0.05,0.03,5.6,0.2,,,star,56a,NGC4889,NED,195.03374,27.97702
172,NGC4945,,3.7,0.4,6.14,0.18,0.18,2.13,0.02,10.80,0.12,0.77,0.12,0.08,3.9,0.4,,,maser,35,NGC4945,NED,196.36366,-49.46790
173,NGC5005,,14.6,1.5,8.27,0.23,0.23,2.30,0.02,11.10,0.09,0.54,0.06,0.04,5.0,0.2,,,gas,7,NGC5005,NED,197.73463,37.05894
174,NGC5055,,8.7,0.9,8.92,0.10,0.10,2.00,0.02,11.13,0.10,0.77,0.09,0.05,4.7,0.5,,,gas,10,NGC5055,NED,198.95554,42.02929
175,NGC5077,,38.7,8.4,8.93,0.27,0.27,2.35,0.02,11.26,0.16,0.52,0.08,0.08,5.1,0.3,,,gas,22,NGC5077,NED,199.88196,-12.65697
176,NGC5127,,62.5,6.3,8.27,0.41,0.41,2.29,0.11,11.35,0.09,0.96,0.07,0.05,5.4,0.3,,,gas,7,NGC5127,NED,200.93741,31.56580
177,NGC5128,,3.6,0.2,7.76,0.08,0.08,2.18,0.02,11.04,0.06,0.41,0.06,0.03,4.9,0.4,,,star,16,NGC5128,NED,201.36506,-43.01911
178,NGC5248,,17.9,1.8,6.30,0.38,0.38,2.10,0.04,10.97,0.09,0.69,0.06,0.05,4.7,0.2,8.86,0.06,gas,7,NGC5248,NED,204.38362,8.88506
179,NGC5252,,103.7,10.4,9.07,0.34,0.34,2.28,0.02,11.49,0.09,0.88,0.06,0.05,5.2,0.3,,,gas,13,NGC5252,NED,204.56612,4.54251
180,NGC5273,,15.5,1.5,6.61,0.27,0.27,1.82,0.02,10.29,0.09,0.36,0.07,0.05,4.1,0.2,7.49,3.18,reverb,"9,88",NGC5273,NED,205.53494,35.65424
181,NGC5283,,34.5,3.5,7.41,0.33,0.33,2.13,0.04,10.44,0.08,0.06,0.05,0.06,5.3,0.7,,,gas,7,NGC5283,NED,205.27390,67.67215
