recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE,lum_compactness
155,NGC4526,,16.4,1.8,8.65,0.12,0.12,2.32,0.02,11.22,0.09,0.54,0.1,0.07,5.6,0.6,,,gas,21,NGC4526,NED,188.51262,7.69914,10.14
156,NGC4548,,17.9,1.8,7.25,0.29,0.29,2.16,0.04,11.27,0.16,1.08,0.17,0.07,4.2,0.5,,,gas,7,NGC4548,NED,188.86012,14.49632,9.11
157,NGC4552,,15.3,1.0,8.7,0.05,0.05,2.35,0.02,11.11,0.06,0.45,0.07,0.05,6.3,0.4,,,stars,15,NGC4552,NED,188.9159,12.5563,10.209999999999999
158,NGC4564,,15.9,0.5,7.95,0.12,0.12,2.19,0.02,10.67,0.04,0.42,0.06,0.03,6.5,0.3,,,star,78,NGC4564,NED,189.11247,11.43932,9.83
159,NGC4579,,23.0,2.3,7.96,0.36,7.96,2.04,0.06,11.61,0.12,1.03,0.13,0.07,4.9,0.6,,,gas,7,NGC4579,NED,189.43165,11.81809,9.549999999999999
160,NGC4593,,38.5,3.9,6.86,0.21,0.21,2.13,0.02,11.35,0.09,0.98,0.09,0.06,5.6,0.3,10.28,0.04,reverb,5,NGC4593,NED,189.91455,-5.34421,9.39
161,NGC4594,,9.9,0.8,8.82,0.05,0.05,2.38,0.02,11.39,0.08,0.74,0.08,0.04,4.2,0.2,,,star,44,NGC4594,NED,189.99763,-11.62305,9.91
162,NGC4596,,16.5,6.2,7.89,0.26,0.26,2.1,0.02,10.97,0.26,0.7,0.16,0.14,5.3,0.3,,,gas,76,NGC4596,NED,189.98306,10.17603,9.57
163,NGC4621,,18.3,3.0,8.6,0.09,0.09,2.3,0.02,11.19,0.12,0.53,0.06,0.06,5.2,0.2,,,stars,15,NGC4621,NED,190.50967,11.64693,10.129999999999999
164,NGC4649,,16.5,0.6,9.67,0.1,0.1,2.43,0.02,11.66,0.06,0.9,0.1,0.05,5.8,0.5,,,star,80,NGC4649,NED,190.9167,11.55261,9.86
165,NGC4697,,12.5,0.4,8.31,0.11,0.11,2.23,0.02,11.08,0.05,0.64,0.07,0.03,4.9,0.3,,,star,78,NGC4697,NED,192.14961,-5.80085,9.8
166,NGC4698,,16.4,1.6,7.76,0.16,0.16,2.09,0.03,10.82,0.1,0.56,0.08,0.05,5.0,0.2,,,gas,7,NGC4698,NED,192.09557,8.48724,9.7
167,NGC4742,,15.7,1.6,7.1,0.15,0.15,1.95,0.02,10.46,0.09,0.06,0.11,0.08,7.8,1.0,,,star,83,NGC4742,NED,192.95017,-10.45479,10.340000000000002
168,NGC4748,,62.7,6.3,6.36,0.26,0.26,2.02,0.05,10.82,0.09,0.62,0.06,0.04,3.4,0.3,10.3,0.01,reverb,8,NGC4748,NED,193.05188,-13.41467,9.58
169,NGC4751,,26.9,2.9,9.15,0.06,0.06,2.55,0.02,10.95,0.09,0.52,0.07,0.05,6.4,0.4,,,star,74,NGC4751,NED,193.21167,-42.65996,9.91
170,NGC4800,,12.5,1.3,7.02,0.53,7.02,2.01,0.01,10.23,0.08,0.01,0.05,0.04,4.2,0.2,,,gas,7,NGC4800,NED,193.6574,46.53114,10.21
171,NGC4889,,102.0,5.2,10.32,0.44,0.44,2.56,0.02,12.13,0.05,1.34,0.05,0.03,5.6,0.2,,,star,56a,NGC4889,NED,195.03374,27.97702,9.450000000000001
172,NGC4945,,3.7,0.4,6.14,0.18,0.18,2.13,0.02,10.8,0.12,0.77,0.12,0.08,3.9,0.4,,,maser,35,NGC4945,NED,196.36366,-49.4679,9.260000000000002
173,NGC5005,,14.6,1.5,8.27,0.23,0.23,2.3,0.02,11.1,0.09,0.54,0.06,0.04,5.0,0.2,,,gas,7,NGC5005,NED,197.73463,37.05894,10.02
174,NGC5055,,8.7,0.9,8.92,0.1,0.1,2.0,0.02,11.13,0.1,0.77,0.09,0.05,4.7,0.5,,,gas,10,NGC5055,NED,198.95554,42.02929,9.59
175,NGC5077,,38.7,8.4,8.93,0.27,0.27,2.35,0.02,11.26,0.16,0.52,0.08,0.08,5.1,0.3,,,gas,22,NGC5077,NED,199.88196,-12.65697,10.219999999999999
176,NGC5127,,62.5,6.3,8.27,0.41,0.41,2.29,0.11,11.35,0.09,0.96,0.07,0.05,5.4,0.3,,,gas,7,NGC5127,NED,200.93741,31.5658,9.43
177,NGC5128,,3.6,0.2,7.76,0.08,0.08,2.18,0.02,11.04,0.06,0.41,0.06,0.03,4.9,0.4,,,star,16,NGC5128,NED,201.36506,-43.01911,10.219999999999999
178,NGC5248,,17.9,1.8,6.3,0.38,0.38,2.1,0.04,10.97,0.09,0.69,0.06,0.05,4.7,0.2,8.86,0.06,gas,7,NGC5248,NED,204.38362,8.88506,9.59
179,NGC5252,,103.7,10.4,9.07,0.34,0.34,2.28,0.02,11.49,0.09,0.88,0.06,0.05,5.2,0.3,,,gas,13,NGC5252,NED,204.56612,4.54251,9.73
180,NGC5273,,15.5,1.5,6.61,0.27,0.27,1.82,0.02,10.29,0.09,0.36,0.07,0.05,4.1,0.2,7.49,3.18,reverb,"9,88",NGC5273,NED,205.53494,35.65424,9.569999999999999
181,NGC5283,,34.5,3.5,7.41,0.33,0.33,2.13,0.04,10.44,0.08,0.06,0.05,0.06,5.3,0.7,,,gas,7,NGC5283,NED,205.2739,67.67215,10.32
182,NGC5328,,64.1,7.0,9.67,0.16,0.16,2.52,0.02,11.71,0.09,0.94,0.06,0.05,6.0,0.3,,,star,74,NGC5328,NED,208.22214,-28.48927,9.830000000000002
183,NGC5347,,32.3,3.2,7.21,0.42,7.21,1.8,0.08,10.54,0.09,0.59,0.07,0.05,5.2,0.3,,,gas,7,NGC5347,NED,208.32439,33.49076,9.36
184,NGC5419,,56.2,6.1,9.86,0.14,0.14,2.57,0.01,12.0,0.09,1.26,0.07,0.05,5.5,0.2,,,stars,75,NGC5419,NED,210.91155,-33.97839,9.48
185,NGC5427,,36.3,3.6,7.58,0.3,7.58,1.8,0.08,11.12,0.13,0.88,0.12,0.05,4.2,0.5,,,gas,7,NGC5427,NED,210.85854,-6.03081,9.36
186,NGC5457,,7.0,0.7,6.41,0.08,6.41,1.35,0.17,10.87,0.13,0.87,0.08,0.07,3.5,0.4,6.93,2.6,star,48,NGC5457,NED,210.80243,54.34875,9.129999999999999
187,NGC5490,,65.2,6.5,8.73,0.35,0.35,2.41,0.04,11.48,0.09,0.7,0.07,0.05,6.0,0.4,,,gas,7,NGC5490,NED,212.48887,17.54542,10.08
188,NGC5495,,126.3,11.6,7.0,0.05,0.05,2.22,0.05,11.76,0.14,1.11,0.15,0.15,3.8,1.9,,,maser,34,NGC5495,NED,213.0973,-27.10798,9.54
189,NGC5516,,58.4,6.3,9.52,0.06,0.06,2.48,0.04,11.83,0.09,1.3,0.09,0.06,6.3,0.2,,,star,74,NGC5516,NED,213.97781,-48.11488,9.23
190,NGC5548,,73.6,7.4,7.7,0.13,0.13,2.29,0.03,11.21,0.09,0.64,0.06,0.06,5.2,0.6,10.85,0.03,reverb,50,NGC5548,NED,214.49797,25.13679,9.930000000000001
191,NGC5576,,25.7,1.7,8.44,0.13,0.13,2.19,0.02,11.18,0.06,0.69,0.07,0.04,6.7,0.3,,,star,37,NGC5576,NED,215.26538,3.27105,9.8
192,NGC5643,,17.4,1.7,7.05,0.59,7.05,1.95,0.01,11.09,0.12,0.94,0.13,0.06,3.8,0.8,,,gas,7,NGC5643,NED,218.16991,-44.17461,9.21
193,NGC5695,,54.6,5.5,8.0,0.32,0.32,2.16,0.01,10.97,0.1,0.64,0.08,0.04,4.6,0.4,,,gas,7,NGC5695,NED,219.34228,36.56779,9.690000000000001
194,NGC5728,,37.6,3.8,8.05,0.29,0.29,2.28,0.09,11.28,0.1,0.9,0.08,0.05,6.0,0.3,,,gas,7,NGC5728,NED,220.5997,-17.25317,9.479999999999999
195,NGC5765B,,113.0,11.3,7.66,0.03,0.03,2.2,0.05,11.18,0.08,0.5,0.06,0.06,3.6,0.5,10.15,0.04,maser,31,NGC5765B,NED,222.71463,5.1145,10.18
196,NGC5813,,32.2,2.7,8.85,0.06,0.06,2.32,0.02,11.5,0.08,0.96,0.07,0.04,5.5,0.3,,,stars,15,NGC5813,NED,225.29694,1.70197,9.58
197,NGC5845,,25.9,4.1,8.69,0.16,0.16,2.36,0.02,10.53,0.13,-0.31,0.1,0.09,5.2,1.2,,,star,78,NGC5845,NED,226.50328,1.63382,11.149999999999999
198,NGC5846,,24.9,2.3,9.04,0.06,0.06,2.35,0.02,11.46,0.09,0.8,0.1,0.06,5.0,0.5,,,stars,15,NGC5846,NED,226.62189,1.60564,9.860000000000001
199,NGC5879,,10.6,1.1,6.62,0.28,6.62,1.73,0.06,9.92,0.09,0.08,0.06,0.05,4.5,0.4,,,gas,7,NGC5879,NED,227.4448,57.00021,9.76
200,NGC5921,,20.5,2.0,7.07,0.42,7.07,1.93,0.05,10.79,0.12,0.81,0.11,0.05,4.3,0.5,,,gas,7,NGC5921,NED,230.48567,5.07054,9.169999999999998
201,NGC6086,,138.0,11.5,9.57,0.17,0.17,2.5,0.02,11.87,0.08,1.2,0.08,0.06,6.2,0.4,,,star,56,NGC6086,NED,243.14809,29.48485,9.469999999999999
202,NGC6240(S),,105.0,10.5,9.17,0.21,0.21,2.44,0.07,11.84,0.09,0.93,0.08,0.05,7.1,1.0,,,star,59,NGC 6240S,NED,253.24567,2.40028,9.98
203,NGC6251,,108.4,9.0,8.79,0.16,0.16,2.46,0.02,11.95,0.07,1.13,0.07,0.05,5.8,0.3,,,gas,30,NGC6251,NED,248.13321,82.53789,9.69
204,NGC6300,,14.2,1.4,7.14,0.2,7.14,1.94,0.02,10.98,0.11,0.74,0.09,0.05,3.9,0.3,,,gas,7,NGC6300,NED,259.2478,-62.82055,9.5
205,NGC6323,,113.4,12.3,7.0,0.05,0.05,2.2,0.07,11.25,0.09,0.91,0.05,0.05,3.3,0.2,9.45,0.14,maser,52,NGC6323,NED,258.32525,43.78233,9.43
206,NGC6500,,36.5,3.6,8.34,0.26,0.26,2.33,0.01,10.9,0.08,0.5,0.05,0.05,5.6,0.3,,,gas,7,NGC6500,NED,268.99909,18.33824,9.9
207,NGC6503,,5.3,0.5,6.3,0.11,6.3,1.74,0.02,9.92,0.1,0.2,0.06,0.04,3.6,0.6,,,star,48,NGC6503,NED,267.36047,70.14434,9.52
208,NGC6814,,22.3,2.2,7.02,0.17,0.17,1.98,0.01,11.04,0.1,0.68,0.06,0.05,3.7,0.4,9.54,0.02,reverb,8,NGC6814,NED,295.66907,-10.32375,9.68
209,NGC6861,,27.3,4.5,9.3,0.08,0.08,2.59,0.02,11.14,0.13,0.32,0.08,0.07,5.3,0.4,,,star,74,NGC6861,NED,301.83117,-48.37026,10.5
210,NGC6951,,16.0,1.6,6.93,0.19,6.93,1.98,0.04,11.01,0.14,0.85,0.13,0.05,4.7,0.8,,,gas,7,NGC6951,NED,309.30865,66.10564,9.31
211,NGC7052,,70.4,8.4,8.6,0.23,0.23,2.42,0.02,11.68,0.09,1.0,0.05,0.05,5.7,0.3,,,gas,86,NGC7052,NED,319.6377,26.44685,9.68
212,NGC7331,,12.2,1.2,8.02,0.18,0.18,2.06,0.02,11.14,0.1,0.57,0.08,0.05,4.6,0.4,,,gas,7,NGC7331,NED,339.26709,34.41592,10.0
213,NGC7332,,21.7,2.2,7.08,0.18,0.18,2.1,0.02,10.81,0.08,0.4,0.07,0.04,5.9,0.3,9.11,0.14,star,40,NGC7332,NED,339.35217,23.79835,10.01
214,NGC7418,,18.4,1.8,5.18,1.78,5.18,1.67,0.06,10.6,0.11,0.75,0.1,0.05,2.5,0.4,,,star,61,NGC7418,NED,344.15067,-37.03008,9.1
215,NGC7424,,10.9,1.1,5.18,0.43,5.18,1.34,0.05,9.82,0.11,0.45,0.08,0.05,3.0,0.3,,,star,61,NGC7424,NED,344.32654,-41.07057,8.92
216,NGC7457,,12.5,1.2,6.95,0.3,0.3,1.87,0.02,10.25,0.08,0.35,0.04,0.04,3.9,0.1,,,star,78,NGC7457,NED,345.24972,30.14489,9.55
217,NGC7582,,22.3,9.8,7.74,0.2,0.2,2.19,0.05,11.21,0.32,0.89,0.19,0.16,6.6,0.4,,,gas,94,NGC7582,NED,349.59842,-42.37057,9.430000000000001
218,NGC7619,,51.5,7.4,9.4,0.11,0.11,2.51,0.02,11.66,0.12,0.87,0.09,0.07,5.8,0.4,,,star,74,NGC7619,NED,350.06052,8.20629,9.92
219,NGC7626,,38.1,3.8,8.58,0.33,0.33,2.37,0.02,11.44,0.09,0.87,0.08,0.05,5.4,0.3,,,gas,7,NGC7626,NED,350.17718,8.21706,9.7
220,NGC7682,,59.3,5.9,7.56,0.33,0.33,2.05,0.06,10.96,0.1,0.8,0.1,0.06,5.1,0.4,,,gas,7,NGC7682,NED,352.26623,3.53333,9.360000000000001
221,NGC7768,,116.0,27.5,9.13,0.18,0.18,2.42,0.02,11.91,0.19,1.15,0.12,0.1,5.7,0.4,,,star,58,NGC7768,NED,357.74414,27.14743,9.61
222,SBS1116+583A,,119.4,11.9,6.54,0.2,0.2,1.96,0.02,10.5,0.08,0.44,0.09,0.08,3.9,1.9,9.97,0.08,reverb,8,SBSG 1116+583A,NED,169.74049,58.05656,9.62
223,UGC12064,,34.7,6.7,8.84,0.52,0.52,2.41,0.03,10.61,0.17,0.38,0.13,0.12,5.9,0.6,,,gas,7,UGC12064,NED,337.83594,39.35828,9.85
224,UGC1214,,59.9,6.0,7.74,0.18,7.74,2.02,0.06,10.74,0.09,0.38,0.06,0.04,4.7,0.6,10.05,0.03,gas,7,UGC1214,NED,25.99069,2.34991,9.98
225,UGC1395,,60.8,6.1,6.83,0.28,6.83,1.81,0.04,10.86,0.11,0.85,0.1,0.06,4.7,0.4,,,gas,7,UGC1395,NED,28.84174,6.6117,9.16
226,UGC1841,,74.9,7.5,8.47,0.19,0.19,2.47,0.04,11.98,0.09,1.49,0.06,0.06,4.7,0.6,,,gas,7,UGC1841,NED,35.79755,42.99205,9.0
227,UGC3789,,49.9,5.4,6.99,0.09,0.09,2.03,0.05,11.01,0.12,0.66,0.11,0.05,5.7,0.5,,,maser,52,UGC3789,NED,109.87872,59.35513,9.69
228,UGC6093,,150.0,15.0,7.41,0.02,0.02,2.19,0.05,11.4,0.08,0.97,0.05,0.05,3.8,0.3,9.26,3.14,maser,34,UGC6093,NED,165.19981,10.72827,9.46
229,UGC7115,,88.2,8.8,9.0,0.45,0.45,2.25,0.08,11.24,0.09,0.54,0.07,0.06,6.1,0.9,,,gas,7,UGC7115,NED,182.02321,25.23727,10.16
230,UGC9799,,151.1,15.1,8.89,0.8,8.89,2.37,0.02,11.99,0.09,1.37,0.06,0.05,4.5,0.3,,,gas,19,UGC9799,NED,229.18536,7.02167,9.25
231,Mrk0110,1.0,151.1,15.1,7.28,0.21,0.21,1.96,0.03,10.58,0.1,0.77,0.07,0.07,3.0,0.5,10.82,0.0,reverb,71,Mrk0110,NED,141.30363,52.28625,9.04
232,Mrk0279,1.0,130.4,13.0,7.4,0.23,0.23,2.29,0.03,11.29,0.08,0.42,0.08,0.09,5.2,0.9,11.21,0.02,reverb,71,Mrk0279,NED,208.2639,69.30804,10.45
233,NGC1068,1.0,15.9,9.4,6.92,0.25,0.25,2.18,0.02,11.32,0.4,0.32,0.2,0.2,4.6,0.4,10.62,0.02,maser,53,NGC1068,NED,40.66988,-0.01329,10.68
234,NGC1300,1.0,21.5,9.4,7.88,0.34,0.34,2.34,0.02,11.05,0.34,1.09,0.17,0.17,3.4,0.4,,,gas,1,NGC1300,NED,49.92116,-19.41136,8.870000000000001
235,NGC2139,1.0,23.6,2.4,5.18,0.43,5.18,1.34,0.08,10.36,0.08,0.47,0.04,0.04,2.9,0.1,,,star,61,NGC2139,NED,90.28318,-23.67232,9.42
236,NGC2911,1.0,43.5,4.3,9.09,0.29,0.29,2.32,0.03,11.28,0.1,0.88,0.12,0.08,6.3,0.3,,,gas,7,NGC2911,NED,143.44208,10.15259,9.52
237,NGC3516,1.0,37.9,3.8,7.37,0.16,0.16,2.26,0.01,11.11,0.11,0.4,0.13,0.1,7.1,0.8,9.98,0.11,reverb,24,NGC3516,NED,166.69789,72.56853,10.309999999999999
238,NGC4041,1.0,19.5,2.0,6.0,0.2,6.0,1.98,0.02,10.61,0.1,0.24,0.11,0.06,4.4,0.7,,,gas,55,NGC4041,NED,180.55072,62.13729,10.129999999999999
239,NGC4636,1.0,13.7,1.4,8.58,0.22,0.22,2.26,0.02,11.25,0.09,0.96,0.08,0.06,5.5,0.4,,,gas,7,NGC4636,NED,190.70778,2.68778,9.33
240,NGC4699,1.0,18.9,2.1,8.25,0.05,0.05,2.26,0.01,11.38,0.11,0.49,0.12,0.08,5.6,0.6,,,stars,75,NGC4699,NED,192.25911,-8.6643,10.4
241,NGC4736,1.0,4.5,0.8,6.78,0.12,0.12,2.05,0.02,10.67,0.16,0.0,0.12,0.09,6.2,0.5,,,star,49,NGC4736,NED,192.72145,41.12015,10.67
242,NGC4826,1.0,5.2,1.2,6.05,0.13,0.13,1.98,0.02,10.71,0.19,0.38,0.12,0.09,4.7,0.4,,,star,49,NGC4826,NED,194.18207,21.68266,9.950000000000001
243,NGC5018,1.0,40.5,4.9,8.02,0.08,0.08,2.32,0.01,11.54,0.09,0.62,0.06,0.05,5.5,0.3,,,stars,75,NGC5018,NED,198.25417,-19.5183,10.299999999999999
244,NGC5194,1.0,7.9,0.8,5.96,0.36,5.96,1.84,0.06,11.04,0.1,0.73,0.08,0.05,4.9,0.6,8.36,0.23,gas,7,NGC5194,NED,202.46957,47.19526,9.579999999999998
245,NGC7469,1.0,47.7,8.1,6.94,0.16,0.16,2.12,0.02,11.12,0.15,0.0,0.17,0.15,8.4,2.8,,,reverb,72,NGC7469,NED,345.81531,8.87369,11.12
